year,region_id,Region_name,ons_code,road_category_id,road_category_name,total_link_length_km,total_link_length_miles,all_motor_vehicles
1994,8,Yorkshire and the Humber,E12000003,4,PA,2563.355,1592.79,6517949300
1994,8,Yorkshire and the Humber,E12000003,5,M,27552.3,17120.21,7962436534
1994,9,South East,E12000008,1,TM,599.993,372.82,10029918946
1994,9,South East,E12000008,2,PM,16.997,10.56,224597672.7
1994,9,South East,E12000008,3,TA,853.105,530.09,5662577333
1994,9,South East,E12000008,4,PA,4277.026,2657.62,13124687875
1994,9,South East,E12000008,5,M,40935.6,25436.2,15843180204
1994,10,West Midlands,E12000005,1,TM,355.396,220.83,5473506137
1994,10,West Midlands,E12000005,2,PM,6.895,4.28,149331321.3
1994,10,West Midlands,E12000005,3,TA,837.019,520.1,3332546861
1994,10,West Midlands,E12000005,4,PA,2663.245,1654.86,6715565678
1994,10,West Midlands,E12000005,5,M,28012.5,17406.16,10058396554
1994,11,North East,E12000001,1,TM,51.768,32.17,496098161.1
1994,11,North East,E12000001,2,PM,3.848,2.39,55495358.36
1994,11,North East,E12000001,3,TA,435.997,270.92,2008478565
1994,11,North East,E12000001,4,PA,1304.129,810.35,3171164156
1994,11,North East,E12000001,5,M,14055.7,8733.81,4716948693
1995,1,South West,E12000009,1,TM,306.893,190.69,3778917881
1995,1,South West,E12000009,3,TA,991.738,616.24,3688075835
1995,1,South West,E12000009,4,PA,3902.336,2424.8,8265255229
1995,1,South West,E12000009,5,M,43736.9,27176.85,9298223144
1995,2,East Midlands,E12000004,1,TM,181.901,113.03,2982219303
1995,2,East Midlands,E12000004,3,TA,1215.683,755.39,5177114242
1995,2,East Midlands,E12000004,4,PA,2588.476,1608.4,5818610912
1995,2,East Midlands,E12000004,5,M,26815.3,16662.25,7221002733
1995,3,Scotland,S92000003,1,TM,341.441,212.16,2682979861
1995,3,Scotland,S92000003,3,TA,2815.283,1749.34,5322710988
1995,3,Scotland,S92000003,4,PA,7460.656,4635.84,6868526007
1995,3,Scotland,S92000003,5,M,48136.3,29910.51,7803135399
1995,4,Wales,W92000004,1,TM,132.693,82.45,1406544289
1995,4,Wales,W92000004,3,TA,1507.036,936.43,3301651825
1995,4,Wales,W92000004,4,PA,2599.14,1615.03,4227974959
1995,4,Wales,W92000004,5,M,28420.3,17659.56,5392455004
1995,5,North West,E12000002,1,TM,563.638,350.23,7662172073
1995,5,North West,E12000002,2,PM,38.642,24.01,315108080.7
1995,5,North West,E12000002,3,TA,823.045,511.42,2808206682
1995,5,North West,E12000002,4,PA,3144.137,1953.68,8894468308
1995,5,North West,E12000002,5,M,31549.7,19604.07,10386621541
1995,6,London,E12000007,1,TM,66.957,41.61,1376969365
1995,6,London,E12000007,3,TA,332.211,206.43,3881047016
1995,6,London,E12000007,4,PA,1374.706,854.2,7146821873
1995,6,London,E12000007,5,M,12644,7856.62,6957620896
1995,7,East of England,E12000006,1,TM,248.014,154.11,4320804105
1995,7,East of England,E12000006,3,TA,1131.908,703.34,6042986600
1995,7,East of England,E12000006,4,PA,2736.814,1700.58,7885298315
1995,7,East of England,E12000006,5,M,34740.1,21586.5,11311937114
1995,8,Yorkshire and the Humber,E12000003,1,TM,339.762,211.12,4134782078
1995,8,Yorkshire and the Humber,E12000003,2,PM,5.612,3.49,82682691.83
1995,8,Yorkshire and the Humber,E12000003,3,TA,700.836,435.48,3133691757
1995,8,Yorkshire and the Humber,E12000003,4,PA,2573.884,1599.34,6701075397
1995,8,Yorkshire and the Humber,E12000003,5,M,27611.1,17156.74,7989272669
1995,9,South East,E12000008,1,TM,605.147,376.02,10492805848
1995,9,South East,E12000008,2,PM,16.997,10.56,232741494.7
1995,9,South East,E12000008,3,TA,852.931,529.99,5790407698
1995,9,South East,E12000008,4,PA,4296.099,2669.47,13455425716
1995,9,South East,E12000008,5,M,41020.7,25489.08,15888834321
1995,10,West Midlands,E12000005,1,TM,358.449,222.73,5721315484
1995,10,West Midlands,E12000005,2,PM,6.895,4.28,153947655.1
1995,10,West Midlands,E12000005,3,TA,836.417,519.73,3405127134
1995,10,West Midlands,E12000005,4,PA,2674.411,1661.8,6892231578
1995,10,West Midlands,E12000005,5,M,28069.2,17441.39,10092401983
1995,11,North East,E12000001,1,TM,52.212,32.44,516980060.2
1995,11,North East,E12000001,2,PM,3.848,2.39,57154573.54
1995,11,North East,E12000001,3,TA,435.808,270.8,2054327965
1995,11,North East,E12000001,4,PA,1309.772,813.85,3258559300
1995,11,North East,E12000001,5,M,14084.6,8751.76,4737551135
1996,1,South West,E12000009,1,TM,312.241,194.02,4004094212
1996,1,South West,E12000009,3,TA,999.129,620.83,3819593409
1996,1,South West,E12000009,4,PA,3879.448,2410.58,8414392699
1996,1,South West,E12000009,5,M,43815.5,27225.69,9438334387
1996,2,East Midlands,E12000004,1,TM,185.07,115,3250808500
1996,2,East Midlands,E12000004,3,TA,1223.44,760.21,5372519137
1996,2,East Midlands,E12000004,4,PA,2574.057,1599.44,5914462545
1996,2,East Midlands,E12000004,5,M,26866.8,16694.26,7331501571
1996,3,Scotland,S92000003,1,TM,347.39,215.86,2849803348
1996,3,Scotland,S92000003,3,TA,2836.5,1762.52,5519569909
1996,3,Scotland,S92000003,4,PA,7414.591,4607.21,7035624131
1996,3,Scotland,S92000003,5,M,48220.1,29962.58,7922223113
1996,4,Wales,W92000004,1,TM,135.005,83.89,1503567018
1996,4,Wales,W92000004,3,TA,1518.48,943.54,3413570348
1996,4,Wales,W92000004,4,PA,2584.139,1605.71,4292853158
1996,4,Wales,W92000004,5,M,28469,17689.82,5477823342
1996,5,North West,E12000002,1,TM,573.462,356.33,8152776698
1996,5,North West,E12000002,2,PM,24.027,14.93,199977286.4
1996,5,North West,E12000002,3,TA,827.343,514.09,2906422857
1996,5,North West,E12000002,4,PA,3130.847,1945.42,9037391226
1996,5,North West,E12000002,5,M,31621.8,19648.88,10524192786
1996,6,London,E12000007,1,TM,68.122,42.33,1453668236
1996,6,London,E12000007,3,TA,327.927,203.76,3895727257
1996,6,London,E12000007,4,PA,1372.198,852.64,7161748212
